"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202202","11","22,700","13","1997","경강로2539번길 8","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202202","15","19,300","13","1997","경강로2539번길 8","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","202202","16","27,800","15","1997","경강로2539번길 8","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202202","24","21,000","12","1997","경강로2539번길 8","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","59.99","202202","21","32,000","11","2005","경강로2539번길 22","20220305","중개거래","강원 강릉시"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","202202","23","24,200","12","2005","경강로2539번길 22","","직거래","-"
"강원도 강릉시 교동","1984","1984","0000","강릉교동풍림아이원아파트","84.9964","202202","18","43,500","17","2017","화부산로40번길 29","","중개거래","강원 강릉시"
"강원도 강릉시 교동","797-1","0797","0001","강원","59.49","202202","5","9,600","4","1985","화부산로131번길 6","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","84.84","202202","5","40,000","2","1999","가작로 78","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","202202","22","24,800","3","1999","가작로 78","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.84","202202","4","30,000","11","2002","교동광장로 138-12","","중개거래","강원 강릉시"
"강원도 강릉시 교동","18-16","0018","0016","교동대림","118.273","202202","28","32,700","3","1997","수리골길17번길 21","","중개거래","강원 강릉시"
"강원도 강릉시 교동","332-2","0332","0002","대인맨션","78.96","202202","14","19,000","8","1991","화부산로141번길 45","","직거래","-"
"강원도 강릉시 교동","318-4","0318","0004","매화임대","48.6","202202","22","13,000","3","1987","율곡로2968번길 26","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1773","1773","0000","부영1","59.58","202202","5","20,300","5","1999","정원로 53-4","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1773","1773","0000","부영1","49.92","202202","9","17,400","6","1999","정원로 53-4","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1773","1773","0000","부영1","49.92","202202","18","17,000","2","1999","정원로 53-4","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1773","1773","0000","부영1","59.58","202202","26","21,500","7","1999","정원로 53-4","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1762","1762","0000","부영5","84.93","202202","11","38,000","2","2001","교동광장로 163","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1762","1762","0000","부영5","84.93","202202","15","42,600","11","2001","교동광장로 163","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1762","1762","0000","부영5","84.93","202202","15","42,600","11","2001","교동광장로 163","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1034","1034","0000","정아타워맨션","76.29","202202","28","14,500","6","1992","화부산로 29","","중개거래","강원 강릉시"
"강원도 강릉시 교동","828-19","0828","0019","현대","84.945","202202","11","18,700","4","1992","옛강일길 41","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1759","1759","0000","현대하이빌","122.74","202202","12","50,000","11","1999","원대로128번길 14","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1759","1759","0000","현대하이빌","122.74","202202","17","50,000","2","1999","원대로128번길 14","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1759","1759","0000","현대하이빌","99.96","202202","22","41,500","3","1999","원대로128번길 14","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","616","0616","0000","강부2","41.18","202202","8","6,500","2","1988","관대길 63","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","616","0616","0000","강부2","41.18","202202","9","5,875","1","1988","관대길 63","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","616","0616","0000","강부2","41.18","202202","19","6,700","3","1988","관대길 63","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","616","0616","0000","강부2","24.795","202202","22","3,950","4","1988","관대길 63","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","75-1","0075","0001","관동2","49.94","202202","19","8,200","2","1992","남산초교길12번길 11","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","127","0127","0000","남산삼익","71.72","202202","16","16,300","2","1993","남부로125번길 37","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","469","0469","0000","내곡동현대","84.865","202202","12","25,700","18","1998","범일로 645","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","623","0623","0000","내곡주공","39.3","202202","15","9,500","5","1989","관대길16번길 6","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","59.97","202202","8","17,400","6","1997","강변로 114","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","59.97","202202","14","17,300","3","1997","강변로 114","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","59.97","202202","26","15,500","1","1997","강변로 114","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","59.97","202202","26","21,500","15","1997","강변로 114","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","59.97","202202","26","17,000","16","1997","강변로 114","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","136","0136","0000","삼익타워맨션","84.86","202202","13","14,000","3","1993","남산초교길 65","","중개거래","강원 강릉시"
"강원도 강릉시 노암동","605","0605","0000","노암3한라","39.762","202202","12","8,150","3","2000","남부로125번길 7","","중개거래","강원 강릉시"
"강원도 강릉시 노암동","605","0605","0000","노암3한라","74.64","202202","22","16,000","2","2000","남부로125번길 7","","직거래","-"
"강원도 강릉시 노암동","711","0711","0000","신화","59.944","202202","14","18,000","10","1998","강변로 270","","직거래","-"
"강원도 강릉시 노암동","711","0711","0000","신화","84.954","202202","24","28,500","12","1998","강변로 270","","중개거래","강원 강릉시"
"강원도 강릉시 노암동","844","0844","0000","양우내안애","84.4413","202202","14","33,500","7","2009","강변로 328-8","","중개거래","강원 강릉시"
